against  bertentangan 	 
; voice communication ; oral communication 	 perkataan  law 
Ford ; Henry Ford 	 Henry Ford 	 person 
Hammurabi ; Hammurapi  Hammurabi  Niagara ; Niagara Falls 	 Niagara 
gram ; gramme ; gm ; g 	 gram 	 

crow 	 burung gagak 	 

North Pole 	 Kutub Utara  West Bank  Tepi Barat  worker 	 karyawan  

ampere ; amp ; A 	 amper 	 
byte 	 bita 	 computers 
Liverpool  Liverpool  city 
Middle East ; Mideast ; Near East  Timur Tengah  compact disk ; compact disc ; CD  cakram padat 
condom ; rubber ; safety ; safe ; prophylactic 	 kondom  holy 	 suci 	 device 
aspirin ; acetylsalicylic acid ; Bayer ; Empirin ; St. Joseph  chlorophyll ; chlorophyl 	 klorofil  
think ; believe ; consider ; conceive  berpikir  diabetes mellitus ; DM 	 diabetes mellitus 
invention ; innovation 	 penciptaan 	 
pregnancy ; gestation ; maternity  kehamilan  virgin 	 perawan 
Netherlands Antilles  Antillen Belanda 
court ; tribunal ; judicature 	 pengadilan 	 law  heat ; warmth  panas 	 

eighty ; 80 ; lxxx ; fourscore 	 delapan puluh  gorilla ; Gorilla gorilla  gorila 	 
microorganism ; micro-organism 	 mikroorganisme  
ask  minta 	 finance 	 aspirin 
Ulan Bator ; Ulaanbaatar ; Urga ; Kulun ; capital of Mongolia 	 Ulan Bator 	 
English Channel  Selat Inggris city 
badger 	 sejenis musang  mammal  read 	 membaca  
brow ; forehead  dahi 	 anatomy 
semiconductor ; semiconducting material  semikonduktor 
existentialism ; existential philosophy ; existentialist philosophy  eksistensialisme 
Philadelphia ; City of Brotherly Love  Philadelphia, Pennsylvania  city  ceiling  langit-langit  

Mexico City ; Ciudad de Mexico ; Mexican capital ; capital of Mexico  Ciudad de 
México 	 

Dallas 	 Dallas 
Marconi ; Guglielmo Marconi  Guglielmo Marconi 	 person 
American Civil War ; United States Civil War ; War between the States 	 
Perang Saudara Amerika 
feudalism ; feudal system  kefeodalan  Aragon 	 Aragon 
hertz ; Hz ; cycle per second ; cycles/second ; cps ; cycle 	 hertz  referendum 	 referendum 
Nairobi ; capital of Kenya  Nairobi  city 
gross domestic product ; GDP 	 produk domestik bruto  economy  customer ; client 	 pelanggan  
today 	 hari ini  

relativity ; theory of relativity ; relativity theory ; Einstein's theory of relativity  teori relativitas  hen  ayam betina 	 ornitology 
compound ; chemical compound 	 majemuk  
zenith 	 zenith 	 mathematics 
wish ; wishing ; want  keinginan  economics 
case ; instance ; example  contoh 	 
germanium ; Ge ; atomic number 32  germanium  
Allen ; Woody Allen ; Allen Stewart Konigsberg 	 Woody Allen  actinium ; Ac ; atomic number 89  aktinium  

Dead Sea  Laut Mati 
Hermes 	 Hermes 	 mythology 
millennium ; millenary 	 milenium 
Alsace ; Alsatia ; Elsass  Alsace 
Manitoba  Manitoba  hydrology  hidrologi 
interview  wawancara  
envelope  amplop 
glucose  glukosa  
mineralogy 	 mineralogi 
garage 	 garasi  forties ; 1940s  1940-an 	 time 
willow ; willow tree  pohon willow 	 tree 
Australia ; Commonwealth of Australia 	 Australia 
Christie ; Agatha Christie ; Dame Agatha Mary Clarissa Christie 	 Agatha 
Christie  person  logarithm ; log  logaritma 
tomato ; love apple ; tomato 
; Lycopersicon esculentum  tomat 	 
obedience  kepatuhan  agnosticism 	 agnostisisme 
atmosphere ; air 	 atmosfer benda langit  
starch ; amylum  kanji 	 
cosmology ; cosmogony ; cosmogeny  kosmologi  Hesse ; Hermann Hesse  Hermann Hesse  person 
ethyl alcohol ; ethanol ; fermentation alcohol ; grain alcohol  etanol 	 

pollution  pencemaran 	 
white ; whiteness 	 putih  oyster 	 tiram 	 
sailor ; crewman 	 kelasi 
Strait of Gibraltar  Selat Gibraltar 
indium ; In ; atomic number 49 	 indium 	 

farmer ; husbandman ; granger ; sodbuster 	 petani  hill 	 bukit 
row  deretan  

Ares 	 Ares 	 mythology 
fourteen ; 14 ; xiv  empat belas  Benelux  Benelux  cell 	 sel  electronics  Anaximander 	 Anaximander 
pharmacist ; druggist ; chemist ; apothecary ; pill pusher ; pill roller  penjual obat-obatan 
sperm ; sperm cell ; spermatozoon ; spermatozoan 	 sperma 	 genetics  League of Nations 	 Liga Bangsa-Bangsa 
neodymium ; Nd ; atomic number 60  neodimium  
badminton  bulu tangkis  Bolzano  Bolzano-Bozen  aesthetics ; esthetics 	 estetika 
syntax ; sentence structure ; phrase structure 	 sintaksis  linguistics 
Winter Olympic Games ; Winter Olympics  Olimpiade Musim Dingin 
Franco ; Francisco Franco ; El Caudillo ; General Franco  Francisco Franco 	 person 
Sardinia ; Sardegna  Sardinia 
astatine ; At ; atomic number 85  astatin  
shield ; buckler 	 perisai  Crete ; Kriti  Kreta 
Prussia ; Preussen 	 Prusia 
Veneto ; Venezia-Euganea ; Venetia 	 Veneto 
soon ; shortly ; presently ; before long 	 segera 	 
ask ; inquire ; enquire 	 menanyakan 	 finance  iridium ; Ir ; atomic number 77  iridium  
pomegranate 	 delima  hypertext  hiperteks 
marriage ; matrimony ; union ; spousal relationship ; wedlock  perkawinan 	 economics  nicotine  nikotin 
alligator ; gator 	 buaya 	 

Reformation ; Protestant Reformation 	 Reformasi Protestan  oath ; swearing  sumpah  dam ; dike ; dyke 	 bendungan 
protocol ; communications protocol 	 protokol  logistics  rhinoceros ; rhino 	 badak 	 animal 
prehistory ; prehistoric culture  prasejarah 	 time  generation 	 generasi 
Zionism ; Zionist movement  Zionisme  Pinter ; Harold Pinter 	 Harold Pinter  virus ; computer virus 	 virus komputer 
Le Corbusier ; Charles Edouard Jeanneret 	 Le Corbusier 	 person  clay 	 lempung 
Treaty of Versailles  Perjanjian Versailles  symphony orchestra ; symphony ; philharmonic  simfoni 
Organization of Petroleum-Exporting Countries ; OPEC 	 Organisasi Negaranegara Pengekspor Minyak Bumi 	 economics 
Rotterdam  Gemeente Rotterdam 	 city 
Kipling ; Rudyard Kipling ; Joseph Rudyard Kipling  Joseph Rudyard Kipling 	 person 
decoration ; laurel wreath ; medal ; medallion ; palm ; ribbon  medali 	 architecture 
Aegean ; Aegean Sea  Laut Aegea 
ecosystem  ekosistem  
academy  akademi 
buttocks ; nates ; arse ; butt ; backside ; bum ; buns ; can ; fundament ; hindquarters ; hind end ; keister ; posterior ; prat ; rear ; rear end ; rump ; stern ; seat ; tail ; tail end ; tooshie ; tush ; bottom ; behind ; derriere ; fanny ; ass 	 bokong 
half life ; half-life  waktu paruh 	 time 
search engine  mesin pencari 
Taipei ; Taipeh ; capital of Taiwan 	 Kota Taipei 	 

aquarium ; fish tank ; marine museum 	 akuarium 
civilization ; civilisation  peradaban 
Teresa ; Mother Teresa ; Theresa ; Mother Theresa ; Agnes Gonxha Bojaxhiu  Bunda 
Teresa 	 person 
Hawking ; Stephen Hawking ; Stephen William Hawking  Stephen Hawking  research  penelitian 	 

Handel ; George Frideric Handel ; George Frederick Handel ; Georg Friedrich 
Handel 	 Georg Friedrich Händel 	 person 
Bologna  Bologna  afternoon  petang  Bohemia  Bohemia 
Roman mythology  Mitologi Romawi 
genitive ; genitive case ; possessive ; possessive case  genitif  porcupine ; hedgehog  landak 	 

Marmara ; Sea of Marmara ; Marmara Denizi ; Marmora ; Sea of Marmora  Laut 
Marmara 
method 	 metode 	 technology 
Hillary ; Edmund Hillary ; Sir Edmund Hillary ; Sir Edmund Percival Hillary 	 
Edmund Hillary 
resistor ; resistance  resistor  
contract  kontrak  
hayfield ; meadow 	 padang rumput  shade ; shadiness ; shadowiness  keteduhan 
horizon ; apparent horizon ; visible horizon ; sensible horizon ; skyline  kaki langit 
Asia Minor ; Anatolia  Anatolia 
tungsten ; wolfram ; W ; atomic number 74 	 wolfram  

Zoroastrianism ; Mazdaism  Zoroastrianisme 
dome 	 kubah 
Detroit ; Motor City ; Motown 	 Detroit  city  Dimash ; Damascus ; capital of Syria 	 Damaskus  city  index 	 indeks 	 

tellurium ; Te ; atomic number 52  telurium  
crab 	 kepiting  animal 
Trinity ; Holy Trinity ; Blessed Trinity ; Sacred Trinity 	 Tritunggal  possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure  barangkali 	 

radius ; r 	 radius 	 
fleshiness ; obesity ; corpulency  obesitas  medicine 
cauliflower ; Brassica oleracea botrytis 	 kembang kol 	 

Islamic calendar ; Muhammadan calendar ; Mohammedan calendar ; Moslem calendar ; 
Muslim calendar  Kalender Hijriyah  Hiroshima  Hiroshima, Hiroshima 
manner ; mode ; style ; way ; fashion  gaya 	 
prostitution ; harlotry ; whoredom 	 pelacuran  law 
Piedmont ; Piemonte  Piemonte 
Odin 	 Odin 	 mythology 
Antananarivo ; capital of Madagascar 	 Antananarivo 	 city  thigh 	 paha 	 anatomy 
brook ; creek  selokan  

percentage ; percent ; per centum ; pct  persentase 	 
fern 	 pakis 
Amman ; capital of Jordan  Amman 	 city  tear ; teardrop  air mata 
Pyongyang ; capital of North Korea 	 Pyongyang  
brave ; courageous 	 berani 
sing 	 menyanyi 
saw  gergaji 
methanol ; methyl alcohol ; wood alcohol ; wood spirit  metanol  
Proust ; Marcel Proust 	 Marcel Proust  person 
eyelid ; lid ; palpebra 	 kelopak mata 	 anatomy  horn 	 tanduk 	 

motto ; slogan ; catchword ; shibboleth  semboyan  passenger ; rider 	 penumpang  journalist 	 wartawan  sale 	 obral 	 

Peter ; Simon Peter ; Saint Peter ; St. Peter ; Saint Peter the Apostle ; St. Peter the Apostle 	 Santo Petrus  baroque ; baroqueness  barok  princess  putri 
World Trade Center ; WTC ; twin towers  World Trade Center 
Oxford  Oxford  city  gate  gerbang  


pemasaran  
beauty 	 kecantikan 
Planck ; Max Planck ; Max Karl Ernst Ludwig Planck  Max Planck 	 person  nomad 	 pengembara  wart ; verruca  kutil  funnel 	 corong 	 
raven ; Corvus corax  gagak 	 animal 
British Virgin Islands 	 Kepulauan Virgin Britania Raya 
rice 	 padi 	 cooking 
avocation ; by-line ; hobby ; pursuit ; sideline ; spare-time activity 	 hobi  abbot ; archimandrite  abas 
Irish ; Irish people  Tokoh Republik Irlandia  electrolysis 	 elektrolisis 	 
bare ; au naturel ; naked ; nude  telanjang  dark ; darkness  gelap 
fever ; febrility ; febricity ; pyrexia ; feverishness  demam  thief ; stealer  pencuri  monk ; monastic  biarawan  anarchy ; lawlessness  anarki 
appetite ; appetency ; appetence  nafsu makan 
tide 	 pasang 
ice hockey ; hockey ; hockey game  hoki  anti-Semitism ; antisemitism 	 antisemitisme 
Sumatra  Pulau Sumatra  vodka  vodka 
defeat ; licking 	 kekalahan 
Keynes ; John Maynard Keynes 	 John Maynard Keynes  person  New Delhi ; Indian capital ; capital of India  New Delhi  
autism 	 autisme 
microeconomics  ekonomi mikro  economics 
unidentified flying object ; UFO ; flying saucer 	 benda terbang aneh  halogen  halogen  

marriage ; wedding ; marriage ceremony  perkawinan  sauce 	 saus 
Democritus 	 Demokreitos  Brisbane  Brisbane  city 
actinoid ; actinide ; actinon 	 aktinida 
jail ; jail
; gaol ; clink ; slammer ; poky ; pokey  penjara 
noble gas ; inert gas ; argonon  gas mulia  Prince Edward Island  Pulau Pangeran Edward 
al-Qaeda ; Qaeda ; al-Qa'ida ; al-Qaida ; Base 	 al-qaeda  Belfast ; capital of Northern Ireland  Belfast  

Borneo ; Kalimantan  Kalimantan 
Chekhov ; Chekov ; Anton Chekhov ; Anton Chekov ; Anton Pavlovich Chekhov ; Anton 
Pavlovich Chekov  Anton Chekhov  person  peacock  merak 	 

Kubrick ; Stanley Kubrick  Stanley Kubrick 
Salzburg  Salzburg  Hollywood  Hollywood  temple 	 kuil 
Balearic Islands 	 Kepulauan Balears  subspecies ; race 	 ras  biology  hamster  marmot 	 animal 
magnetism ; magnetic attraction ; magnetic force 	 magnetisme  salad 	 selada 	 cooking 
price ; terms ; damage 	 harga 	 
melon 	 semangka 
histology  histologi  medicine  Manhattan  Manhattan 
physiology 	 fisiologi  biology 
friendship ; friendly relationship 	 persahabatan  thirties ; 1930s 	 1930-an 
analysis ; analytic thinking 	 analisis  

component ; constituent ; element ; factor ; ingredient  unsur 	 

French Polynesia ; French Oceania  Polinesia Perancis 
Vaduz ; capital of Liechtenstein  Vaduz 	 city  Mann ; Thomas Mann 	 Paul Thomas Mann 	 person  style 	 gaya 	 

Spanish Civil War 	 Perang Saudara Spanyol  Riyadh ; capital of Saudi Arabia  Riyadh 	 city  education  pendidikan 
threshold ; limen 	 ambang pintu 	 
bay ; embayment  teluk  BASIC 	 BASIC 
viper 	 ular berbisa 	 animal  sixties ; 1960s  1960-an  seventies ; 1970s 	 1970-an  twenties ; 1920s 	 1920-an  bud  tunas 	 

jaguar ; panther ; Panthera onca ; Felis onca  macan tutul 	 
resin ; rosin  getah 	 biology 
administration ; disposal  administrasi 	 logistics  metabolism ; metabolic process 	 metabolisme 	 biology  windmill ; aerogenerator ; wind generator 	 kincir angin  centimeter ; centimetre ; cm 	 sentimeter 
dwelling ; home ; domicile ; abode ; habitation ; dwelling 
rumah 	 

dandelion ; blowball  randa tapak 	 
doll ; dolly 	 boneka 
joule ; J ; watt second 	 joule 	 

Colosseum ; Amphitheatrum Flavium  Colosseum  table tennis ; Ping-Pong 	 tenis meja  herring ; Clupea harangus  ikan haring 	 

Mollusca ; phylum Mollusca  Mollusca 
Kuiper belt ; Edgeworth-Kuiper belt 	 Sabuk Kuiper 
one-fourth ; fourth ; one-quarter ; quarter ; fourth part ; twenty-five percent ; quartern  seperempat 	 mathematics 
Astana ; Akmola ; capital of Kazakhstan  Astana, Kazakhstan 	 city  fountain  air mancur  carpenter  tukang kayu 
Tbilisi ; Tiflis ; capital of Georgia  Tbilisi  city  throw 	 lempar/melempar ; lontar/melontarkan 	 
Global Positioning System ; GPS  Global Positioning System  gain 	 perolehan  
reed 	 buluh 	 

swastika ; Hakenkreuz  swastika  Lagos 	 Lagos 
programming ; programing ; computer programming ; computer programing 	 pemrograman komputer 
sit ; sit down  bertengger 	 
fine ; mulct ; amercement  denda 	 
ruthenium ; Ru ; atomic number 44  rutenium  
tantalum ; Ta ; atomic number 73  tantalum  

boiling point ; boil  titik didih  Weber ; Max Weber 	 Max Weber  person  osmium ; Os ; atomic number 76 	 osmium 	 

repair ; mend ; fix ; bushel ; doctor ; furbish up ; restore ; touch on 	 memperbaiki 	 
Iberian Peninsula ; Iberia  Iberia  earwig 	 kumbang  
cobra 	 ular kobra 	 

mayor ; city manager  walikota  bullet ; slug  peluru 
anemia ; anaemia 	 kurang darah 	 medicine  baptism  pembaptisan 
sphere 	 bulatan  

twilight ; dusk ; gloaming ; gloam ; nightfall ; evenfall ; fall ; crepuscule ; crepuscle  senjakala  pronunciation  lafal ; cara baca 
altitude ; height 	 ketinggian 	 

atom ; molecule ; particle ; corpuscle ; mote ; speck 	 partikel  linguistics  cocoa 	 coklat  kitchen  dapur 	 room  cyclone  siklon 
helicopter ; chopper ; whirlybird ; eggbeater  helikopter  procedure ; process  prosedur  
chromosome 	 kromosom  genetics  Bosporus  Selat Bosporus 
palladium ; Pd ; atomic number 46  paladium  

Hanoi ; capital of Vietnam  Hanoi 	 city  rum  rum 
Fuji ; Mount Fuji ; Fujiyama ; Fujinoyama ; Fuji-san 	 Gunung Fuji 
Kilimanjaro ; Mount Kilimanjaro  Kilimanjaro  mummy 	 mumi  grave ; tomb 	 makam  Seattle  Seattle  mustache ; moustache  kumis  admiral ; full admiral 	 laksamana 
impression ; feeling ; belief ; notion ; opinion 	 kesan  buy ; purchase  berbelanja 	 

check ; bank check ; cheque  cek  finance  Toulouse  Toulouse  city 
project ; projection  proyek 	 
permission 	 izin 
Corse ; Corsica  Korsika  prayer ; supplication  doa 
Khartoum ; capital of Sudan  Khartoum  

classical music ; classical ; serious music  musik klasik 	 music  mutation ; genetic mutation ; chromosomal mutation  mutasi 	 genetics 
Volgograd ; Stalingrad ; Tsaritsyn 	 Volgograd  city  Nagasaki  Nagasaki  city 
orgasm ; climax ; sexual climax ; coming 	 orgasme  medicine  patience ; forbearance ; longanimity 	 kesabaran  
journalism 	 jurnalisme  savage ; barbarian 	 orang biadab 
labor ; labour ; toil  kerja keras 	 
difference 	 perbedaan  
pitch ; tar 	 ter 
interpreter ; translator 	 penerjemah  witness ; witnesser ; informant  saksi  archbishop 	 uskup agung  prince 	 pangeran  throne 	 singgasana 
comedy 	 komedi 
huge ; immense ; vast ; Brobdingnagian  besar 
typewriter 	 mesin tik 
text ; textual matter  teks 
Hephaestus ; Hephaistos 	 Hefestus  mythology  freezing point ; melting point 	 titik lebur 
boxing ; pugilism ; fisticuffs 	 bertinju 
Thor 	 Thor 	 mythology 
troposphere 	 troposfer  meteorology  region 	 kawasan  
slavery ; slaveholding 	 perbudakan  monster  raksasa 
artillery ; artillery unit  senjata berat  client 	 pelanggan  

copyright ; right of first publication  hak cipta  

Christian  Kristen 
Bond ; James Bond 	 James Bond  composer  komponis  pH ; pH scale  ph  
larva 	 ulat 
Khrushchev ; Nikita Khrushchev ; Nikita Sergeyevich Khrushchev  Nikita Khrushchev  person 
income  penghasilan  
cupboard ; closet  lemari  

altar ; communion table ; Lord's table  altar  oasis 	 oasis 
prohibition ; ban ; proscription  larangan  signal ; signaling ; sign  isyarat  

ice bear ; polar bear ; Ursus Maritimus ; Thalarctos maritimus  beruang kutub  

ceremony ; ceremonial ; ceremonial occasion ; observance  upacara  quartz 	 kuarsa 	 mining 
elk ; European elk ; moose ; Alces alces 	 rusa besar 	 
success  sukses 	 
destiny ; fate  takdir 
pineapple ; ananas 	 nenas 	 
abbey 	 biara  caffeine ; caffein 	 kafein  cherry 	 ceri 
dessert ; sweet ; afters 	 hidangan penutup  breakfast  sarapan  consonant  konsonan 
morphology ; geomorphology  geomorfologi  seismology 	 seismologi  Emilia-Romagna  Emilia-Romagna 
Pangaea ; Pangea 	 Pangea 
Kathmandu ; Katmandu ; capital of Nepal  Kathmandu  city  prototype ; paradigm ; epitome ; image  purwarupa  mathematics  ninety ; 90 ; xc 	 sembilan puluh  Saskatchewan 	 Saskatchewan  natural science  ilmu alam  Cayman Islands  Kepulauan Cayman 
battery ; electric battery  baterai  

Brno ; Brunn 	 Brno 
Ibsen ; Henrik Ibsen ; Henrik Johan Ibsen 	 Henrik Ibsen 	 person  passport  paspor 
Algiers ; Algerian capital  Aljir 	 city 
Quito ; capital of Ecuador  Quito 	 
political orientation ; ideology ; political theory  ideologi  bias ; prejudice ; preconception  sikap berat sebelah  
Campania  Campania  liberalism 	 liberalisme 
Liguria  Liguria 
De Niro ; Robert De Niro 	 Robert De Niro 
Himmler ; Heinrich Himmler  Heinrich Himmler 	 person  tae kwon do ; taekwondo 	 taekwondo 
hormone ; endocrine ; internal secretion 	 hormon 	 
testis ; testicle ; orchis ; ball ; ballock ; bollock ; nut ; egg 	 testis 	 biology 
Monroe ; James Monroe ; President Monroe 	 James Monroe 	 person  cocaine ; cocain 	 kokain  masturbation ; onanism 	 masturbasi  refuge ; sanctuary ; asylum  suaka 
Huygens ; Christiaan Huygens ; Christian Huygens 	 Christiaan Huygens 	 person 
satellite ; artificial satellite ; orbiter 	 satelit  astronomy  Caligula ; Gaius ; Gaius Caesar  Caligula  patent ; patent of invention 	 paten 	 
beggar ; mendicant 	 pengemis  fresh 	 segar 
Dumas ; Alexandre Dumas 	 Alexandre Dumas  person  origami  origami 
Ovid ; Publius Ovidius Naso  Ovid 
lipid ; lipide ; lipoid 	 lipid 	 
allergy ; allergic reaction  alergi 
lanthanum ; La ; atomic number 57  lantanum  
cannon 	 meriam 
Genesis ; Book of Genesis  Kitab Kejadian 
Trojan War  Perang Troya  mythology  Zanzibar  Zanzibar 
atomic mass ; atomic weight ; relative atomic mass  massa atom 	 
Grant ; Ulysses Grant ; Ulysses S. Grant ; Ulysses Simpson Grant ; Hiram Ulysses 
Grant ; President Grant 	 Ulysses S. Grant 	 person 
stupid  tolol  myth  dongeng 
association  perhimpunan  
kite  layang-layang 
moment ; minute ; second ; instant 	 saat 	 
North Africa 	 Afrika Utara 
ankle ; ankle joint ; mortise joint ; articulatio talocruralis  mata kaki 
neurology ; clinical neurology 	 neurologi  medicine  quality ; character ; lineament  watak 	 

Cape Town  Cape Town 
Heidegger ; Martin Heidegger 	 Martin Heidegger 	 person  choice ; selection ; option ; pick 	 pilihan  

Sparta 	 Sparta 	 city 
Mogadishu ; Mogadiscio ; capital of Somalia  Mogadishu  city  already  sudah 	 

Schubert ; Franz Schubert ; Franz Peter Schubert ; Franz Seraph Peter Schubert  
Franz Schubert  person 
Tesla ; Nikola Tesla  Nikola Tesla 	 person  carp 	 karper 	 

teach ; learn ; instruct 	 melatih  
heraldry  ilmu lambang 
artist ; creative person 	 seniman  Karachi  Karachi  city 
Abkhaz ; Abkhazia 	 Abkhazia  Abidjan  Abidjan  city 
bondage ; slavery ; thrall ; thralldom ; thraldom  perbudakan 
Luanda ; Angolan capital 	 Luanda 	 city  maze ; labyrinth 	 labirin  anatomy  accept ; take ; have  menerima  
protection 	 perlindungan 	 
department ; section  bagian 	 
biosphere  biosfer  

poster ; posting ; placard ; notice ; bill ; card  poster  solid ; strong ; substantial 	 utuh  stallion ; entire 	 kuda jantan 
furniture ; piece of furniture ; article of furniture 	 mebel  one-half ; half  setengah  
divorce ; divorcement  perceraian 	 law  test ; trial ; run 	 tes  
advantage ; vantage  keuntungan 	 logistics  Lake Victoria ; Victoria Nyanza  Danau Victoria  philately ; stamp collecting ; stamp collection 	 filateli 
black ; blackness ; inkiness 	 hitam 
cinema ; movie theater ; movie theatre ; movie 
; picture palace 	 bioskop 
Cromwell ; Oliver Cromwell ; Ironsides  Oliver Cromwell  person 
Great Barrier Reef 	 Karang Penghalang Besar  centaur  centaurus  mythology 
navigation ; pilotage ; piloting  navigasi 
Thames ; River Thames ; Thames River 	 Sungai Thames  Munch ; Edvard Munch  Edvard Munch 	 person  channel  saluran  technology 
conscience ; scruples ; moral sense ; sense of right and wrong  nurani  demography ; human 
kependudukan 	 
sax ; saxophone  saksofon  iceberg ; berg  gunung es  

central processing unit ; CPU ; C.P.U. ; central processor ; processor ; mainframe  cpu  IT 
ovary 	 indung telur 	 biology  gyn
; gyna
ginekologi 
Faulkner ; William Faulkner ; William Cuthbert Faulkner ; Falkner ; William 
Falkner 	 William Faulkner 	 person  aikido 	 aikido 
Gulf of Finland  Teluk Finlandia  ice  es  cooking 
locomotive ; engine ; locomotive engine ; railway locomotive  lokomotif  spice 	 bumbu  Arabian Sea 	 Laut Arab 
fluid mechanics ; hydraulics 	 mekanika fluida  
Colossus of Rhodes 	 Colossus Rodos 
calcium hydroxide ; lime ; slaked lime ; hydrated lime ; calcium hydrate ; caustic lime ; lime hydrate  kapur 	 

Commonwealth of Independent States ; CIS 	 Persemakmuran Negara-negara 
Merdeka 
vulture  hering 	 animal  manuscript ; holograph 	 naskah 
thorium ; Th ; atomic number 90  torium 	 
Languedoc-Roussillon  Languedoc-Roussillon  theorem  teorema  
fur ; pelt 	 bulu  guillotine 	 guillotine  Montserrat 	 Montserrat 
McCartney ; Paul McCartney ; Sir James Paul McCartney 	 Paul McCartney  Jackson ; Andrew Jackson ; Old Hickory  Andrew Jackson  person  niobium ; Nb ; atomic number 41  niobium  
numeral ; number 	 bilangan  

Nicosia ; capital of Cyprus  Nikosia  city  Dortmund  Dortmund 
cross 	 tanda silang 	 
ferocious ; fierce ; furious ; savage  ganas  orthography ; writing system 	 ortografi 
Avogadro's number ; Avogadro number 	 bilangan avogadro  calm ; unagitated ; serene ; tranquil  tenang 
pseudoscience  ilmu semu 
Fleming ; Alexander Fleming ; Sir Alexander Fleming  Alexander Fleming 	 person 
mitochondrion ; chondriosome 	 mitokondria 	 biology  pleasant  menyenangkan  necklace  kalung  asbestos  asbestos 
international law ; law of nations 	 hukum internasional  policy 	 kebijaksanaan  
disguise ; camouflage  penyamaran 	 
Beckett ; Samuel Beckett 	 Samuel Beckett  person  rapid ; speedy  cepat 
Lavoisier ; Antoine Lavoisier ; Antoine Laurent Lavoisier 	 Antoine Lavoisier  person 
park ; commons ; common ; green  taman 
boundary line ; border ; borderline ; delimitation ; mete 	 perbatasan 	 

agency ; federal agency ; government agency ; bureau ; office ; authority  biro  

Wiesbaden  Wiesbaden  city 
yttrium ; Y ; atomic number 39 	 itrium 	 
motor 	 mesin 	 

Confucianism 	 Agama Khonghucu 
Lucas ; George Lucas  George Lucas  rust 	 karat 	 

peak ; crown ; crest ; top ; tip ; summit 	 puncak 	 economics 
Jehovah's Witnesses  saksi-saksi yehuwa 
Urdu 	 Bahasa Urdu 	 language 
New Caledonia  Kaledonia Baru  inorganic 
kimia anorganik 
comma 	 tanda koma 	 mathematics 
pharmacology ; pharmacological medicine ; materia medica  farmakologi  molecular biology 	 biologi molekular 	 biology 
leukemia ; leukaemia ; leucaemia ; cancer of the blood  leukemia  medicine  basalt 	 basal 	 mineralogy  basement ; cellar 	 ruang bawah tanah 
camp ; encampment ; cantonment ; bivouac 	 perkemahan 	 

object ; physical object 	 benda 	 mathematics  Lille 	 Lille 	 city 
band 	 pembalut  
affluent ; flush ; loaded ; moneyed ; wealthy  kaya  width ; breadth  luas 	 

Ho Chi Minh ; Nguyen Tat Thanh 	 Ho Chi Minh 	 person 
nutriment ; nourishment ; nutrition ; sustenance ; aliment ; alimentation ; victuals  makanan  biology 
Basilicata ; Lucania  Basilicata  Guernsey ; island of Guernsey 	 Guernsey 
dolphinfish ; dolphin ; mahimahi  dolfin ; dalfin ; ikan lumba-lumba 	 

Romanticism ; Romantic Movement  Romantisisme  yacht ; racing yacht  yacht  Horace 	 Horatius 
slope ; incline ; side 	 lereng  D ; d 	 D 
heroin ; diacetylmorphine  heroin  magic ; thaumaturgy  ilmu gaib 
particle physics ; high-energy physics ; high energy physics  fisika partikel  aeromechanics ; aerodynamics 	 aerodinamika  fifteen ; 15 ; xv 	 lima belas  mud ; clay 	 lumpur 
double ; dual ; duple  dua kali lipat 
Newfoundland and Labrador  Newfoundland dan Labrador  watermelon 	 semangka 
acetylene ; ethyne ; alkyne  alkuna 	 
sidewalk ; pavement  trotoar  
lantern  lentera  
census ; nose count ; nosecount  cacah jiwa 
vase 	 vas 
tourist ; tourer ; holidaymaker  turis  rocket ; projectile  roket 
aviator ; aeronaut ; airman ; flier ; flyer  penerbang  

Armenian ; Armenian language 	 Bahasa Armenia  language  Rabat ; capital of Morocco  Rabat 	 

mariner ; seaman ; tar ; Jack-tar ; Jack ; old salt ; seafarer ; gob ; sea dog  pelaut 
Neruda ; Pablo Neruda ; Reyes ; Neftali Ricardo Reyes 	 Pablo Neruda 	 person 
yoga 	 yoga 
pressure ; pressure level ; force per unit area 	 tekanan  
billiards  bilyar 
angiosperm ; flowering 
tumbuhan berbiji tertutup 
widower ; widowman 	 duda 
crafty ; cunning ; dodgy ; foxy ; guileful ; knavish ; slick ; sly ; tricksy ; tricky ; wily 	 licik 
giant panda ; panda ; panda bear ; coon bear ; Ailuropoda melanoleuca 	 panda  

hostage ; surety 	 sandera 
Goya ; Goya y Lucientes ; Francisco Goya ; Francisco de Goya ; Francisco Jose de Goya ; Francisco Jose de Goya y Lucientes 	 Francisco Goya  person  heavy 	 berat 	 
bowl 	 mangkuk 
handicraft ; handcraft ; handiwork ; handwork  ulah 
backgammon 	 backgammon 
accurate ; exact ; precise  tepat 	 
deaf 	 tuli  fungus 	 jamur 	 

change ; alteration ; modification 	 mengubah  technology  heron 	 bangau 	 ornitology 
catalysis ; contact action  katalis  
dentist ; tooth doctor ; dental practitioner  dokter gigi 
helmet 	 helm 	 

Hendrix ; Jimi Hendrix ; James Marshall Hendrix 	 Jimi Hendrix 	 person  career ; calling ; vocation  profesi 
